Number of operations,t=1000d,t=2000d,t=3000d
35,0.03439458374243354,0.06760618009405173,0.09967547741373439
36,0.03535970651687692,0.06946910418879426,0.10237240356956512
37,0.0363238646509465,0.07132830615871277,0.10506125107096898
38,0.03728705910880048,0.07318379344061776,0.1077420441175917
39,0.038249290853633267,0.07503557345646072,0.11041480683658866
40,0.03921056084767682,0.07688365361336424,0.11307956328284252
41,0.0401708700522011,0.0787280413036513,0.1157363374391791
42,0.04113021942751549,0.08056874390487534,0.11838515321658394
43,0.04208860993296937,0.08240576877984906,0.12102603445441684
44,0.04304604252695332,0.08423912327667438,0.12365900492062676
45,0.04400251816690004,0.08606881472877181,0.12628408831196558
46,0.04495803780928531,0.08789485045490963,0.12890130825420165
47,0.04591260240962891,0.08971723775923302,0.13151068830233215
48,0.046866212922495265,0.09153598393129381,0.134112251940795
49,0.04781887030149512,0.09335109624607907,0.1367060225836806
50,0.048770575499285984,0.09516258196404048,0.1392920235749422
51,0.04972132946757302,0.09697044833112323,0.1418702781886062
52,0.05067113315711047,0.09877470257879528,0.14444080962898154
53,0.051619987517701804,0.10057535192407596,0.1470036410308685
54,0.05256789349820168,0.10237240356956512,0.14955879545976702
55,0.05351485204651618,0.10416586470347178,0.15210629591208413
56,0.05446086410960371,0.10595574249964279,0.15464616531534126
57,0.05540593063347665,0.1077420441175917,0.1571784265283801
58,0.05635005256320147,0.10952477670252736,0.1597031023415686
59,0.05729323084290028,0.11130394738538263,0.16222021547700616
60,0.05823546641575128,0.11307956328284252,0.164729788588728
61,0.05917676022399032,0.11485163149737287,0.16723184426290905
62,0.06011711320891111,0.1166201591172491,0.16972640501806735
63,0.06105652631086678,0.11838515321658394,0.17221349330526636
64,0.061995000469270534,0.12014662085535621,0.17469313150831767
65,0.06293253662259657,0.1219045690794387,0.1771653419439816
66,0.06386913570838115,0.12365900492062676,0.17963014686216894
67,0.06480479866322342,0.125409935396666,0.1820875684461406
68,0.06573952642278647,0.1271573675112807,0.1845376288127073
69,0.06667331992179804,0.12890130825420165,0.18698035001242896
70,0.06760618009405173,0.13064176460119414,0.18941575402981292
71,0.06853810787240788,0.13237874351408596,0.19184386278351162
72,0.06946910418879426,0.134112251940795,0.19426469812652036
73,0.07039916997420725,0.1358422968153572,0.19667828184637348
74,0.07132830615871277,0.1375688850579545,0.19908463566534085
75,0.07225651367144714,0.1392920235749422,0.20148378124062294
76,0.07318379344061776,0.14101171925887657,0.20387574016454624
77,0.07411014639350466,0.1427279789885425,0.2062605339647573
78,0.07503557345646072,0.14444080962898154,0.20863818410441615
79,0.07596007555491324,0.1461502180315183,0.21100871198239035
80,0.07688365361336424,0.14785621103378865,0.21337213893344653
81,0.07780630855539195,0.14955879545976702,0.21572848622844354
82,0.0787280413036513,0.15125797811979325,0.21807777507452275
83,0.07964885277987532,0.15295376581060038,0.22042002661529958
84,0.08056874390487534,0.15464616531534126,0.22275526193105388
85,0.08148771559854262,0.1563351834036163,0.22508350203891903
86,0.08240576877984906,0.1580208268315001,0.22740476789307196
87,0.08332290436684775,0.1597031023415686,0.22971908038492084
88,0.08423912327667438,0.16138201666292595,0.23202646034329388
89,0.08515442642554805,0.16305757651123187,0.2343269285346261
90,0.08606881472877181,0.164729788588728,0.23662050566314685
91,0.08698228910073424,0.1663986595842647,0.2389072123710657
92,0.08789485045490963,0.16806419617332824,0.24118706923875866
93,0.08880649970385945,0.16972640501806735,0.24346009678495262
94,0.08971723775923302,0.1713852927673194,0.24572631546691104
95,0.09062706553176858,0.1730408660566377,0.24798574568061738
96,0.09153598393129381,0.17469313150831767,0.25023840776095874
97,0.0924439938667273,0.17634209573142312,0.25248432198190895
98,0.09335109624607907,0.17798776532181348,0.25472350855671133
99,0.0942572919764515,0.17963014686216894,0.25695598763806016
100,0.09516258196404048,0.18126924692201818,0.2591817793182821
101,0.09606696711413587,0.1829050720577634,0.2614009036295174
102,0.09697044833112323,0.1845376288127073,0.26361338054389993
103,0.09787302651848351,0.18616692371707932,0.26581922997373664
104,0.09877470257879528,0.18779296328806105,0.26801847177168736
105,0.09967547741373439,0.18941575402981292,0.2702111257309432
106,0.10057535192407596,0.1910353024335002,0.27239721158540453
107,0.1014743270096945,0.19265161497731853,0.27457674900985884
108,0.10237240356956512,0.19426469812652036,0.27674975762015763
109,0.10326958250176455,0.19587455833344036,0.27891625697339295
110,0.10416586470347178,0.1974812020375215,0.28107626656807383
111,0.10506125107096898,0.19908463566534085,0.283229805844301
112,0.10595574249964279,0.20068486563063492,0.28537689418394274
113,0.10684933988398448,0.20228189833432575,0.2875175509108082
114,0.1077420441175917,0.20387574016454624,0.28965179529082274
115,0.10863385609316867,0.20546639749666595,0.2917796465322
116,0.10952477670252736,0.20705387669331632,0.2939011237856156
117,0.11041480683658866,0.20863818410441615,0.29601624614437916
118,0.11130394738538263,0.2102193260671973,0.298125032644606
119,0.1121921992380499,0.2117973089062296,0.30022750226538897
120,0.11307956328284252,0.21337213893344653,0.302323673928969
121,0.11396604040712444,0.21494382244817045,0.3044135665009049
122,0.11485163149737287,0.2165123657371375,0.3064971987902442
123,0.1157363374391791,0.21807777507452275,0.3085745895496915
124,0.1166201591172491,0.21964005672196574,0.3106457574757776
125,0.11750309741540454,0.22119921692859512,0.31271072120902776
126,0.11838515321658394,0.22275526193105388,0.3147694993341297
127,0.11926632740284304,0.22430819795352397,0.31682211038010033
128,0.12014662085535621,0.2258580312077516,0.3188685728204529
129,0.12102603445441684,0.22740476789307196,0.3209089050733632
130,0.1219045690794387,0.22894841419643375,0.32294312550183535
131,0.12278222560895646,0.23048897629242415,0.3249712524138668
132,0.12365900492062676,0.23202646034329388,0.3269933040626136
133,0.1245349078912289,0.23356087249898083,0.32900929864655415
134,0.125409935396666,0.23509221889713605,0.3310192543096533
135,0.12628408831196558,0.23662050566314685,0.3330231891415256
136,0.1271573675112807,0.23814573891016244,0.3350211211775981
137,0.1280297738678906,0.2396679247391179,0.3370130683992726
138,0.12890130825420165,0.24118706923875866,0.3389990487340876
139,0.12977197154174847,0.24270317848566447,0.3409790800558793
140,0.13064176460119414,0.24421625854427453,0.34295318018494325
141,0.13151068830233215,0.24572631546691104,0.34492136688819375
142,0.13237874351408596,0.24723335529380375,0.3468836578793244
143,0.1332459311045111,0.24873738405311396,0.3488400708189675
144,0.134112251940795,0.25023840776095874,0.35079062331485256
145,0.1349777068892587,0.25173643242143473,0.35273533292196535
146,0.1358422968153572,0.25323146402664287,0.3546742171427054
147,0.1367060225836806,0.25472350855671133,0.3566072934270438
148,0.1375688850579545,0.2562125719798204,0.35853457917268017
149,0.13843088510104173,0.25769866025222565,0.3604560917251991
150,0.1392920235749422,0.2591817793182821,0.36237184837822667
151,0.14015230134079448,0.2606619351104681,0.3642818663735857
152,0.14101171925887657,0.2621391335494089,0.366186162901451
153,0.1418702781886062,0.26361338054389993,0.3680847551005041
154,0.1427279789885425,0.26508468199093127,0.36997766005808774
155,0.1435848225163865,0.26655304377571076,0.3718648948103592
156,0.14444080962898154,0.26801847177168736,0.37374647634244407
157,0.14529594118231492,0.26948097184057507,0.37562242158858883
158,0.1461502180315183,0.27094054983237625,0.3774927474323133
159,0.1470036410308685,0.27239721158540453,0.37935747070656267
160,0.14785621103378865,0.27385096292630906,0.38121660819385916
161,0.1487079288928489,0.2753018096700971,0.3830701766264526
162,0.14955879545976702,0.27674975762015763,0.3849181926864713
163,0.15040881158540975,0.27819481256828416,0.38676067300607253
164,0.15125797811979325,0.27963698029469863,0.3885976341675913
165,0.15210629591208413,0.28107626656807383,0.39042909270369075
166,0.15295376581060038,0.2825126771455567,0.39225506509750985
167,0.15380038866281176,0.2839462177727915,0.3940755677828125
168,0.15464616531534126,0.28537689418394274,0.3958906171441353
169,0.15549109661396565,0.28680471210171776,0.3977002295169346
170,0.1563351834036163,0.28822967723739035,0.3995044211877341
171,0.1571784265283801,0.28965179529082274,0.4013032083942708
172,0.1580208268315001,0.2910710719504893,0.403096607325642
173,0.15886238515537676,0.2924875128934983,0.4048846341224499
174,0.1597031023415686,0.2939011237856156,0.406667304876948
175,0.16054297923079264,0.29531191028128656,0.4084446356331849
176,0.16138201666292595,0.29671987802365907,0.4102166423871496
177,0.16222021547700616,0.298125032644606,0.4119833410869146
178,0.16305757651123187,0.29952737976474764,0.41374474763278035
179,0.1638941006029645,0.3009269249934743,0.41550087787741763
180,0.164729788588728,0.302323673928969,0.41725174762601036
181,0.16556464130421045,0.303717632158229,0.41899737263639814
182,0.1663986595842647,0.3051088052570894,0.42073776861921797
183,0.16723184426290905,0.3064971987902442,0.4224729512380453
184,0.16806419617332824,0.3078828183112696,0.4242029361095355
185,0.16889571614787435,0.3092656693626453,0.42592773880356405
186,0.16972640501806735,0.3106457574757776,0.4276473748433668
187,0.17055626361459608,0.31202308817102054,0.42936185970567975
188,0.1713852927673194,0.313397666957699,0.43107120882087824
189,0.17221349330526636,0.3147694993341297,0.4327754375731159
190,0.1730408660566377,0.31613859078764417,0.4344745613004629
191,0.17386741184880616,0.31750494679460994,0.43616859529504437
192,0.17469313150831767,0.3188685728204529,0.43785755480317756
193,0.17551802586089182,0.32022947431967896,0.43954145502550956
194,0.17634209573142312,0.32158765673589595,0.44122031111715365
195,0.1771653419439816,0.32294312550183535,0.4428941381878261
196,0.17798776532181348,0.324295886039374,0.44456295130198176
197,0.17880936668734204,0.3256459437595558,0.4462267654789499
198,0.17963014686216894,0.3269933040626136,0.4478855956930694
199,0.1804501066670744,0.3283379723379902,0.44953945687382335
200,0.18126924692201818,0.3296799539643607,0.4511883639059735
