Time (days),N=50,N=100,N=5000
311.03678929765886,0.0004109523252495695,0.0005109062322383728,0.010258060286697512
321.0702341137124,0.0004209815964839603,0.000520934500595871,0.010267990758013323
331.1036789297659,0.00043101076709084474,0.0005309626683357438,0.010277921129692724
341.1371237458194,0.00044103983707100003,0.0005409907354589905,0.010287851401736825
351.1705685618729,0.00045106880642553637,0.0005510187019668322,0.010297781574146514
361.20401337792646,0.00046109767515545297,0.0005610465678600463,0.010307711646922901
371.23745819397993,0.000471126443261749,0.0005710743331396317,0.010317641620066986
381.27090301003346,0.00048115511074553474,0.0005811019978068099,0.010327571493579657
391.304347826087,0.0004911836776076983,0.000591129561862469,0.010337501267462135
401.33779264214047,0.00050121214384935,0.0006011570253076082,0.010347430941715086
411.371237458194,0.0005112405094713779,0.0006111843881432266,0.010357360516339842
421.40468227424753,0.0005212687744748923,0.0006212116503704346,0.01036728999133718
431.438127090301,0.0005312969388608924,0.0006312388119900092,0.010377219366708212
441.47157190635454,0.0005413250026303773,0.0006412658730032827,0.010387148642453936
451.5050167224081,0.0005513529657842353,0.0006512928334110324,0.01039707781857524
461.53846153846155,0.0005613808283236876,0.0006613196932142573,0.010407006895073345
471.5719063545151,0.0005714085902495114,0.0006713464524141788,0.010416935871948918
481.6053511705686,0.0005814362515629279,0.0006813731110115739,0.01042686474920329
491.6387959866221,0.0005914638122649363,0.000691399669007553,0.01043679352683724
501.6722408026756,0.0006014912723564247,0.0007014261264031152,0.010446722204851877
511.7056856187291,0.0006115186318383925,0.0007114524831993707,0.0104566507832482
521.7391304347826,0.0006215458907119498,0.0007214787393970967,0.010466579262027209
531.7725752508361,0.0006315730489779847,0.0007315048949975145,0.010476507641189792
541.8060200668897,0.0006416001066377186,0.0007415309500016232,0.010486435920737058
551.8394648829432,0.0006516270636919286,0.000751556904410311,0.010496364100670008
561.8729096989966,0.0006616539201418359,0.0007615827582245771,0.01050629218098953
571.9063545150502,0.0006716806759882177,0.0007716085114455318,0.010516220161696732
581.9397993311037,0.0006817073312321842,0.0007816341640741742,0.010526148042792616
591.9732441471572,0.0006917338858748456,0.0007916597161115035,0.01053607582427818
602.0066889632108,0.0007017603399170902,0.000801685167558519,0.010546003506154311
612.0401337792642,0.0007117866933600281,0.0008117105184162199,0.010555931088422232
622.0735785953177,0.0007218129462045475,0.0008217357686854943,0.01056585857108272
632.1070234113713,0.0007318390984517587,0.0008317609183676744,0.010575785954136774
642.1404682274248,0.0007418651501025497,0.0008417859674634265,0.010585713237585614
652.1739130434783,0.000751891101158142,0.0008518109159739717,0.01059564042143002
662.2073578595318,0.0007619169516193125,0.0008618357639001983,0.010605567505671099
672.2408026755853,0.0007719427014871716,0.0008718605112432165,0.010615494490309851
682.2742474916388,0.0007819683507627184,0.0008818851580040254,0.010625421375347277
692.3076923076924,0.0007919938994470632,0.0008919097041836244,0.010635348160784264
702.3411371237459,0.0008020193475409831,0.0009019341497829014,0.010645274846621922
712.3745819397993,0.0008120446950456994,0.0009119584948029669,0.01065520143286125
722.4080267558529,0.0008220699419622113,0.0009219827392448199,0.010665127919503248
732.4414715719064,0.0008320950882914069,0.0009320068831095707,0.010675054306548803
742.4749163879599,0.0008421201340342854,0.0009420309263979965,0.010684980593999027
